gamma,nu,minN,cluster_size,num_outliers,Threshold,Boxsize,CellType,Features
0.05,0.04,12,656,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,14,537,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,16,381,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,18,322,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,20,225,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,22,159,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,24,95,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.04,26,0,1967,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,12,1052,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,14,968,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,16,797,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,18,649,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,20,487,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,22,272,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,24,149,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.08,26,0,3231,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,12,1654,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,14,1436,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,16,1249,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,18,1013,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,20,780,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,22,547,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,24,299,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.12,26,0,4476,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,12,2253,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,14,1992,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,16,1632,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,18,1362,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,20,1042,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,22,750,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,24,396,5534,single_threshold,150,gfap,Mean+Area+D
0.05,0.16,26,0,5534,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,12,975,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,14,861,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,16,706,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,18,587,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,20,468,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,22,319,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,24,208,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.04,26,0,2443,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,12,1430,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,14,1312,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,16,1107,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,18,987,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,20,727,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,22,528,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,24,315,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.08,26,0,3739,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,12,1934,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,14,1648,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,16,1456,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,18,1200,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,20,916,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,22,676,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,24,505,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.12,26,0,4984,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,12,2576,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,14,2209,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,16,1863,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,18,1638,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,20,1281,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,22,913,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,24,611,6052,single_threshold,150,gfap,Mean+Area+D
0.1,0.16,26,0,6052,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,12,1104,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,14,1029,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,16,847,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,18,770,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,20,613,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,22,420,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,24,282,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.04,26,0,2714,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.08,12,1533,3963,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.08,14,1406,3963,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.08,16,1199,3963,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.08,18,993,3963,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.08,20,772,3963,single_threshold,150,gfap,Mean+Area+D
0.15000000000000002,0.08,22,647,3963,single_threshold,150,gfap,Mean+Area+D
